Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"L'Intelligence Émotionnelle: Comment garder son calme, gérer le stress et comprendre les gens grâce à des méthodes efficaces",12.9,"Développez votre intelligence émotionnelle grâce à nos conseils!
Voudriez-vous être capable de gérer vos émotions?

Vous êtes à la recherche d'un plan d'action qui vous aidera à réduire les conflits et les comportements négatifs? Aimeriez-vous que vos journées soient caractérisées par l'abondance de positivité?

Beaucoup de gens ne vivent leur vie qu'à moitié, dominés par leurs émotions, et cela peut avoir de lourdes conséquences sur leur état d'esprit. Les émotions devraient être un moyen d'obtenir des informations sur les événements que nous traversons. Découvrez comment lire, gérer et utiliser les émotions pour développer votre intelligence émotionnelle! Êtes-vous prêt à commencer ce voyage qui changera la manière de voir vos émotions? Dans ce livre, vous apprendrez à analyser vos émotions, à contrôler vos comportements et à communiquer efficacement!",979-8730724921,https://m.media-amazon.com/images/I/61b2YQjTHIL._SY522_.jpg,Independently published (30 mars 2021),Viola Di Russo
"L'Intelligence Émotionnelle: Comment garder son calme, gérer le stress et comprendre les gens grâce à des méthodes efficaces",12.9,"Développez votre intelligence émotionnelle grâce à nos conseils!
Voudriez-vous être capable de gérer vos émotions?

Vous êtes à la recherche d'un plan d'action qui vous aidera à réduire les conflits et les comportements négatifs? Aimeriez-vous que vos journées soient caractérisées par l'abondance de positivité?

Beaucoup de gens ne vivent leur vie qu'à moitié, dominés par leurs émotions, et cela peut avoir de lourdes conséquences sur leur état d'esprit. Les émotions devraient être un moyen d'obtenir des informations sur les événements que nous traversons. Découvrez comment lire, gérer et utiliser les émotions pour développer votre intelligence émotionnelle! Êtes-vous prêt à commencer ce voyage qui changera la manière de voir vos émotions? Dans ce livre, vous apprendrez à analyser vos émotions, à contrôler vos comportements et à communiquer efficacement!",979-8730724921,https://m.media-amazon.com/images/I/61b2YQjTHIL._SY522_.jpg,Independently published (30 mars 2021),Viola Di Russo
La révolution de la médecine vibratoire - Guérison quantique et thérapies de l'avenir,19.9,"Soigner et se déployer dans son existence avec l'énergie : une approche ancestrale en pleine évolutio
Après quarante années de recherches, au terme de dizaines de milliers de rencontres à travers le monde, Patrick Drouot développe une nouvelle vision thérapeutique de l'être humain s'appuyant sur des concepts novateurs tels que la médecine vibratoire et la psychologie énergétique. Il démontre que les champs d'énergie quantiques qui nous enveloppent –; les corps subtils –; ont un impact majeur sur notre santé, notre manière de penser, de vivre et de comprendre le monde d'une manière plus vaste.

De l'origine des médecines chamaniques, égyptiennes, tibétaines vers les possibilités thérapeutiques de l'avenir, cet ouvrage enseigne la manière de vivre et de rester en bonne santé. Il propose d'explorer ces pistes inédites, susceptibles d'apporter des solutions originales aux problèmes que nous rencontrons en ce début de millénaire. Un grand nombre de cas et plusieurs exercices pratiques sont proposés dans l'ouvrage.

C'est une nouvelle écologie de vie qu'offre ainsi l'auteur, en nous livrant les clés des mécanismes de l'énergie quantique vitale, et les incroyables possibilités de guérison personnelles, collectives et planétaires qui sommeillent en chacun de nous. Dans un langage clair et accessible, ce livre ouvre une nouvelle fenêtre sur la structure profonde de l'être humain et porte l'espoir que notre monde évolue vers de nouveaux "" possibles "".",978-2813229434,https://m.media-amazon.com/images/I/61sUG4zwgyL._SY522_.jpg,Les éditions Trédaniel (15 juin 2023),Patrick Drouot
Développez vos facultés psychiques et spirituelles,26.0,"Le livre pratique de référence sur les techniques d'éveil sprituel qui a conquis des milliers de lecteurs à ce jour...
Nous possédons tous des facultés psychiques et spirituelles à l'état latent (intuition, clairvoyance, télépathie, médiumnité, vision de l'aura, voyage astral, magnétisme, radiesthésie...) qui ne demandent qu'à être révélées. Dans ce livre pratique et accessible, l'auteur fait le point sur vos différents potentiels. Grâce à des exercices adaptés, vous apprendrez progressivement à percevoir, toucher, sentir, et ressentir au-delà des cinq sens physiques, appréhendant ainsi les dimensions invisibles. En étroit contact avec vos capacités les plus subtiles, vous découvrirez des domaines insoupçonnés qui transformeront votre regard sur le monde qui vous entoure...",978-2911525667,https://m.media-amazon.com/images/I/61pZMdF3lEL._SY522_.jpg,Exergue (16 avril 2007),Serge Boutboul
Maîtrisez vos émotions: Guide pratique pour vaincre la négativité et mieux gérer vos émotions,16.99,"Déjà plus de 300 000 ventes dans le monde

Voulez-vous surmonter vos émotions négatives ? Sentez-vous souvent que vous pourriez mieux faire ? Avez-vous besoin d’aide pour gérer votre stress ?
Avez-vous déjà été si absorbé par vos émotions négatives que vous pensiez qu’elles ne disparaîtraient jamais ?
La solution pour faire face à la négativité est de comprendre comment vos émotions fonctionnent et d’appliquer des techniques spécifiques pour vous assurer de les gérer efficacement.
Maîtrisez vos émotions est le manuel pratique que vos parents auraient dû vous donner à la naissance. En le lisant, vous apprendrez un processus étape par étape pour traiter les émotions négatives afin d'augmenter votre bien-être et mener une vie plus heureuse. Avec des exercices pratiques et des exemples personnels, vous explorerez des techniques qui déjouent les spirales drainantes de la négativité et qui apportent un soulagement immédiat.",979-8463595232,https://m.media-amazon.com/images/I/61lOrYzO9DL._SY522_.jpg,Independently published (19 novembre 2021),Thibaut Meurisse
Le prophète,18.23,"Une langue limpide, des images évocatrices et fortes : à travers l’enseignement d’Al-Mustafa se dessinent quelques-uns des trésors
de l’expérience humaine. Rien n’échappe à la leçon du Sage : amour, joie, liberté, douleur, connaissance de soi, beauté, couple, passion, mort… La vie la plus intime, comme les problèmes les plus quotidiens.
Hymne à la vie et à l’épanouissement de soi, Le Prophète s’impose désormais comme l’un des textes cultes du xxe siècle.",978-2253064091,https://m.media-amazon.com/images/I/91vFKHyTa5L._SY522_.jpg,Le Livre de Poche; Illustrated édition (1 juin 1996),Khalil Gibran
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",16.09,"THE INTERNATIONAL BESTSELLER - OVER 3 MILLION COPIES SOLD

'Dr. van der Kolk's masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller' Judith Herman, author of Trauma and Recovery

The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world's experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.",978-0141978611,https://m.media-amazon.com/images/I/71-OnTj8N8L._SY522_.jpg,Penguin; 1er édition (24 septembre 2015),Bessel van der Kolk
L'Âme du monde,7.7,"Sept sages venus des quatres coins du monde se réunissent pour transmettre à deux jeunes adolescents les clés de la sagesse universelle.
Une fable initiatique étincelante qui touche le cœur autant que l'intelligence.

"" Et l'alchimiste Lenoir de redescendre de sa montagne avec ce best-seller aussi philosophique que philosophal. "" Thomas Malher – Le Point

"" Captivant. "" Elsa Godart – Psychologies",978-2266240659,https://m.media-amazon.com/images/I/51rtdK0TXNL._SY522_.jpg,Pocket (21 août 2014),Frédéric Lenoir
"Spirothérapie: Des pranayamas aux pratiques modernes, plus de 50 techniques de respiration",7.35,"Rééduquer son souffle, reconnaître les vertus de la respiration et les instaurer dans sa vie comme un rituel de bien-être : bienvenue dans la spirothérapie ! Le livre de référence, par le créateur de la méthode, avec plus de 50 techniques de respiration issues des pranayamas d'origine et 10 programmes à composer selon ses besoins (relaxation, dynamisation, détox...).
La thérapie par le souffle
Grâce à la spirothérapie, ou thérapie par le souffle, une méthode de bien-être qui utilise les techniques de respiration contrôlée et consciente, il est possible de rééduquer son souffle pour améliorer son équilibre physique, émotionnel et mental, et prendre soin de sa santé.
Un outil accessible pour prendre soin de soi",978-2263177408,https://m.media-amazon.com/images/I/614xPAYo5NL._SY522_.jpg,Solar; Illustrated édition (14 avril 2022),Samuel Ganes
"Le grand livre de nettoyage, protection et prévention énergétique des personnes et des lieux",28.0,"Comment vous nettoyer, vous et votre habitation, des énergies négatives, des entités, des êtres désincarnés, des sorts, des incorporations et autres nuisances qui viennent perturber votre bien-être et votre santé ? Cet ouvrage va vous permettre de remédier à ces nuisances et propose également des solutions aux vols d'énergies, aux parasites, aux charmes, aux implants et à la réparation de vos erreurs... Pour tout cela, il explique les remèdes, techniques et protocoles qui sont à la fois simples, applicables par tous et totalement novateurs. De plus, il aborde des thèmes importants comme la protection contre les énergies et entités nuisibles, le nettoyage des lieux, le nettoyage en profondeur des individus et le passage des âmes. Toutes les techniques expliquées dans ce livre sont originales. Enfin, il nous explique comment prévenir toutes ces nuisances, ce qui est totalement inédit : vous apprendrez ainsi à éviter, ou au moins à limiter, l'arrivée de ces malversations dans votre vie...",978-2813221285,https://m.media-amazon.com/images/I/61gYEdgqX9L._SY522_.jpg,Les éditions Trédaniel; Illustrated édition (8 février 2020),Luc Bodin
